message,severity,attributes,tags,timestamp
[2026-07-03T22:59:07.566Z] live=2 tracked=1 updated=0 api_calls=1 total_calls=12 next_tick=15s,info,"{""level"":""info""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T22:59:12.484622772Z
[2026-07-03T22:59:22.674Z] live=2 tracked=1 updated=0 api_calls=1 total_calls=13 next_tick=15s,info,"{""level"":""info""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T22:59:32.439083332Z
[2026-07-03T22:59:37.781Z] live=2 tracked=1 updated=0 api_calls=1 total_calls=14 next_tick=15s,info,"{""level"":""info""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T22:59:37.789142292Z
  [details] fixture=1565179 events=1 lineups=0,info,"{""level"":""info""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T22:59:57.746311882Z
[2026-07-03T22:59:52.960Z] live=2 tracked=1 updated=0 api_calls=2 total_calls=16 next_tick=15s,info,"{""level"":""info""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T22:59:57.746321642Z
[2026-07-03T23:00:08.111Z] live=2 tracked=1 updated=0 api_calls=1 total_calls=17 next_tick=15s,info,"{""level"":""info""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T23:00:17.769316410Z
[2026-07-03T23:00:23.246Z] live=2 tracked=1 updated=0 api_calls=1 total_calls=18 next_tick=15s,info,"{""level"":""info""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T23:00:23.261989560Z
[2026-07-03T23:00:39.315Z] live=2 tracked=1 updated=0 api_calls=1 total_calls=19 next_tick=15s,info,"{""level"":""info""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T23:00:43.266671840Z
[2026-07-03T23:00:54.433Z] live=2 tracked=1 updated=0 api_calls=1 total_calls=20 next_tick=15s,info,"{""level"":""info""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T23:01:03.261781318Z
[2026-07-03T23:01:09.571Z] live=2 tracked=1 updated=0 api_calls=1 total_calls=21 next_tick=15s,info,"{""level"":""info""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T23:01:09.572236468Z
[2026-07-03T23:01:24.704Z] live=2 tracked=1 updated=0 api_calls=1 total_calls=22 next_tick=15s,info,"{""level"":""info""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T23:01:29.562078540Z
[2026-07-03T23:01:39.810Z] live=2 tracked=1 updated=0 api_calls=1 total_calls=23 next_tick=15s,info,"{""level"":""info""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T23:01:49.456356758Z
